lor_plr,lor_plr_name,fahrraddiebstaehle_2015,fahrraddiebstaehle_2016,fahrraddiebstaehle_2017
01011101,Stülerstraße,33,21,33
01011102,Großer Tiergarten,28,21,16
01011103,Lützowstraße,40,44,85
01011104,Körnerstraße,43,37,53
01011105,Nördlicher Landwehrkanal,83,105,138
01011201,Wilhelmstraße,40,36,35
01011202,Unter den Linden Nord,136,111,103
01011203,Unter den Linden Süd,72,41,60
01011204,Leipziger Straße,110,90,95
01011301,Charitéviertel,202,234,157
01011302,Oranienburger Straße,200,302,216
01011303,Alexanderplatzviertel,290,315,215
01011304,Karl-Marx-Allee,164,164,98
01011305,Heine-Viertel West,81,94,64
01011306,Heine-Viertel Ost,81,76,91
01011401,Invalidenstraße,197,267,215
01011402,Arkonaplatz,200,232,179
01022101,Huttenkiez,28,25,33
01022102,Beusselkiez,24,29,28
01022103,Westhafen,14,24,22
01022104,Emdener Straße,139,167,152
01022105,Zwinglistraße,20,27,28
01022106,Elberfelder Straße,107,127,130
01022201,Stephankiez,109,83,93
01022202,Heidestraße,10,18,7
01022203,Lübecker Straße,41,55,33
01022204,Thomasiusstraße,50,84,77
01022205,Zillesiedlung,13,17,18
01022206,Lüneburger Straße,85,88,45
01022207,Hansaviertel,114,115,109
01033101,Soldiner Straße,148,185,144
01033102,Gesundbrunnen,118,119,68
01033201,Brunnenstraße,161,148,152
01033202,Humboldthain Süd,68,71,69
01033203,Humboldthain Nordwest,134,105,93
01044101,Rehberge,143,136,126
01044102,Schillerpark,47,81,68
01044103,Westliche Müllerstraße,110,69,63
01044201,Reinickendorfer Straße,138,141,149
01044202,Sparrplatz,161,145,113
01044203,Leopoldplatz,103,100,88
02010101,Askanischer Platz,66,73,72
02010102,Mehringplatz,103,167,130
02010103,Moritzplatz,158,153,117
02010104,Wassertorplatz,72,151,86
02020201,Gleisdreieck/Entwicklungsgebiet,10,23,54
02020202,Rathaus Yorckstraße,109,89,146
02020203,Viktoriapark,122,118,126
02020204,Urbanstraße,251,211,243
02020205,Chamissokiez,208,231,270
02020206,Graefekiez,449,384,407
02030301,Oranienplatz,168,160,108
02030302,Lausitzer Platz,166,171,180
02030401,Reichenberger Straße,191,202,217
02030402,Wrangelkiez,149,136,176
02040501,Barnimkiez,46,45,56
02040502,Friedenstraße,57,61,71
02040503,Richard-Sorge-Viertel,122,115,115
02040701,Andreasviertel,141,163,117
02040702,Weberwiese,131,129,117
02040703,Wriezener Bahnhof/Entwicklungsgebiet,42,70,36
02050601,Hausburgviertel,64,73,55
02050602,Samariterviertel,350,353,288
02050801,Traveplatz,199,188,156
02050802,Boxhagener Platz,281,237,221
02050803,Stralauer Kiez,184,147,125
02050804,Stralauer Halbinsel,46,71,55
03010101,Bucher Forst,35,30,35
03010102,Buch,91,63,78
