"","X","street1","accidents","lon","lat"
"1",1,"16 Verkehrsunfälle im Bezirk FH",2,13.2896787,52.4525264
"2",2,"36 WGRENZSTR. / NEUE HOCHSTR. / SCHULZENDORFER STR.",1,13.3764413,52.5407074
"3",3,"56 NK KÖPENICKER STR.",1,13.4283766,52.5073081
"4",4,"66 KP STUBENRAUCHBRÜCKE",1,13.404954,52.5200066
"5",5,"ACHILLESSTR. / BUCHER CHAUSSEE",3,13.4876389,52.6181452
"6",6,"ACKERSTR. / INVALIDENSTR.",4,13.3959729,52.5324283
"7",7,"ACKERSTR. / TORSTR.",3,13.3975532,52.5294212
"8",8,"ADALBERTSTR. / KÖPENICKER STR.",1,13.4246457,52.5088216
"9",9,"ADLERGESTELL / DÖRPFELDSTR. / RUDOWER CHAUSSEE",2,13.5411054,52.4354699
"10",10,"ADLERGESTELL / GLIENICKER WEG / KÖPENICKER STR.",6,13.5507441,52.4291613
"11",11,"ADLERGESTELL / GODBERSENSTR.",1,13.6453603,52.3783594
"12",12,"ADLERGESTELL / GRAUAMMERPFAD",1,13.5604055,52.4226042
"13",13,"ADLERGESTELL / NELTESTR.",1,13.5350042,52.4396005
"14",14,"ADLERGESTELL / RABINDRANATH-TAGORE-STR.",2,13.5924247,52.4040326
"15",15,"ADLERGESTELL / RICHTERSTR. / WASSERSPORTALLEE",2,13.5737459,52.4136054
"16",16,"ADLERGESTELL / SEIDENBAUSTR.",1,13.5406241,52.4359864
"17",17,"ADLERGESTELL / VETSCHAUER ALLEE",1,13.633782,52.386162
"18",18,"ADLERGESTELL / WEERTHSTR.",1,13.5428141,52.4343154
"19",19,"ADLERSHOFER STR. / GLIENICKER STR. / MAHLOWER STR.",1,13.5675223,52.4405092
"20",20,"ADMIRALSTR. / FRAENKELUFER / ADMIRALBRÜCKE",1,13.4151488,52.4952708
"21",21,"ADMIRALSTR. / KOHLFURTER STR.",1,13.4173389,52.4982593
"22",22,"ADMIRALSTR. / KOTTBUSSER STR. / REICHENBERGER STR. / SKALITZER STR. / ADALBERTST",7,13.4189058,52.4991499
"23",23,"AFRIKANISCHE STR. / AMRUMER STR. / SEESTR.",1,13.3440663,52.5460934
"24",24,"AFRIKANISCHE STR. / MÜLLERSTR.",2,13.3334099,52.5610661
"25",25,"AFRIKANISCHE STR. / TRANSVAALSTR.",1,13.3390679,52.5503464
"26",26,"AGNES-HACKER-STR.",1,13.5407209,52.4071484
"27",27,"AHORNALLEE / PLATANENALLEE",1,13.275387,52.5127669
"28",28,"AHORNWEG / FÜRSTENWALDER DAMM",3,13.5979066,52.4525224
"29",29,"AHRENSDORFER STR. / TIRSCHENREUTHER RING",1,13.3546359,52.4089208
