"","X.1","X","street1","accidents","lon","lat"
"1",153,153,"ALT-TEMPELHOF / FUHRMANNSTR. / GERMANIASTR. / DORFAUE TEMPELHOF / STRAßE 20A",1,13.3856226,52.4659253
"2",304,304,"ASKANIERRING / HAVELSCHANZE / NEUENDORFER STR. / STREITSTR. / KGA KLECKERSDORF",1,NA,NA
"3",395,395,"BÄUMERPLAN / LOEWENHARDTDAMM / SCHREIBERRING / SPIELPARK BÄUMERPLAN,ZW.WÜST",1,NA,NA
"4",471,471,"BERGSTR. / STRAßE ZUM LÖWEN",1,13.15966,52.427419
"5",750,750,"BUDAPESTER STR. / KURFÜRSTENSTR. / NÜRNBERGER STR. / OLOF-PALME-PLATZ",2,NA,NA
"6",791,791,"BÜRKNERSTR. / FRIEDELSTR. / MAYBACHUFER / HOBRECHTBRÜCKE",2,NA,NA
"7",1238,1238,"FICHTESTR. / GRIMMSTR. / KÖRTESTR. / URBANSTR. / GRIMMPARK",3,NA,NA
"8",1415,1415,"GARTENFELDER STR. / SAATWINKLER DAMM / GARTENFELDER BRÜCKE",2,NA,NA
"9",2060,2060,"KARLSHORSTER STR. / NÖLDNERSTR.",1,NA,NA
"10",2063,2063,"KARLSHORSTER STR. / STUBENRAUCHBRÜCKE",1,NA,NA
"11",2116,2116,"KISSELNALLEE / PIONIERSTR. / ZEPPELINSTR. (ENDE)",1,NA,NA
"12",2263,2263,"KUHLIGKSHOFSTR. / SCHLOßSTR. / WOLFENSTEINDAMM / A 103 BAB ABZWEIG ZEHLENDORF /",3,NA,NA
"13",2345,2345,"LICHTENBERGER STR. / PALISADENSTR. / WEYDEMEYERSTR. / PLATZ DER VEREINTEN NATION",1,NA,NA
"14",2501,2501,"MARTIN-LUTHER-STR. / WARTBURGSTR.",1,13.3449859,52.4868481
"15",2502,2502,"MARTIN-LUTHER-STR. / WINTERFELDTSTR.",1,13.3460625,52.4959143
"16",2503,2503,"MARTIN-MÄHRLEIN-WEG",1,13.4697739,52.4464818
"17",2504,2504,"MARTIN-RIESENBURGER-STR. / JOHANNES-BOBROWSKI-STR.",1,13.6125992,52.534069
"18",2505,2505,"MARZAHNER CHAUSSEE / ALLEE DER KOSMONAUTEN",1,13.5336355,52.5257213
"19",2506,2506,"MARZAHNER CHAUSSEE / SEDDINER STR.",1,13.523968,52.5132285
"20",2507,2507,"MARZAHNER STR. / PLAUENER STR.",1,13.5161473,52.5463569
"21",2508,2508,"MARZAHNER STR. / WOLLENBERGER STR.",1,13.5118412,52.5463104
"22",2509,2509,"MASSANTEBRÜCKE / HERMANN-GLADENBECK-BRÜCKE / STUBENRAUCHSTR. / A 113 BAB AUTO",1,13.4973917,52.4334091
"23",2510,2510,"MAßMANNSTR.",1,13.3206357,52.4661719
"24",2511,2511,"MASURENALLEE / MESSEDAMM / NEUE KANTSTR.",4,13.2804875,52.5063441
"25",2512,2512,"MASURENSTR. / MÜHLENSTR.",1,13.4114532,52.5627076
"26",2513,2513,"MATENZEILE / ROTKAMP",1,13.5097922,52.5617995
"27",2514,2514,"MATTHIEUSTR. / NOÉWEG / BLANKENFELDER STR.",1,13.419128,52.608431
"28",2515,2515,"MAX-BEER-STR.",3,13.4086326,52.52624
"29",2516,2516,"MAX-BEER-STR. / MÜNZSTR. / ROCHSTR. (ENDE)",2,NA,NA
"30",2517,2517,"MAX-BRUNNOW-STR. / STORKOWER STR.",1,13.4588117,52.5266933
"31",2518,2518,"MAX-DOHRN-STR. / LISE-MEITNER-STR.",1,13.3059776,52.5318768
"32",2519,2519,"MAX-DOHRN-STR. / TEGELER WEG",2,13.295994,52.5304423
"33",2520,2520,"MAXIMILIANSTR. / MÜHLENSTR.",2,13.4109804,52.5611705
