"","street1","accidents"
"1","16 Verkehrsunfälle im Bezirk FH",2
"2","36 WGRENZSTR. / NEUE HOCHSTR. / SCHULZENDORFER STR.",1
"3","56 NK KÖPENICKER STR.",1
"4","66 KP STUBENRAUCHBRÜCKE",1
"5","ACHILLESSTR. / BUCHER CHAUSSEE",3
"6","ACKERSTR. / INVALIDENSTR.",4
"7","ACKERSTR. / TORSTR.",3
"8","ADALBERTSTR. / KÖPENICKER STR.",1
"9","ADLERGESTELL / DÖRPFELDSTR. / RUDOWER CHAUSSEE",2
"10","ADLERGESTELL / GLIENICKER WEG / KÖPENICKER STR.",6
"11","ADLERGESTELL / GODBERSENSTR.",1
"12","ADLERGESTELL / GRAUAMMERPFAD",1
"13","ADLERGESTELL / NELTESTR.",1
"14","ADLERGESTELL / RABINDRANATH-TAGORE-STR.",2
"15","ADLERGESTELL / RICHTERSTR. / WASSERSPORTALLEE",2
"16","ADLERGESTELL / SEIDENBAUSTR.",1
"17","ADLERGESTELL / VETSCHAUER ALLEE",1
"18","ADLERGESTELL / WEERTHSTR.",1
"19","ADLERSHOFER STR. / GLIENICKER STR. / MAHLOWER STR.",1
"20","ADMIRALSTR. / FRAENKELUFER / ADMIRALBRÜCKE",1
"21","ADMIRALSTR. / KOHLFURTER STR.",1
"22","ADMIRALSTR. / KOTTBUSSER STR. / REICHENBERGER STR. / SKALITZER STR. / ADALBERTST",7
"23","AFRIKANISCHE STR. / AMRUMER STR. / SEESTR.",1
"24","AFRIKANISCHE STR. / MÜLLERSTR.",2
"25","AFRIKANISCHE STR. / TRANSVAALSTR.",1
"26","AGNES-HACKER-STR.",1
"27","AHORNALLEE / PLATANENALLEE",1
"28","AHORNWEG / FÜRSTENWALDER DAMM",3
"29","AHRENSDORFER STR. / TIRSCHENREUTHER RING",1
"30","AHRENSFELDER CHAUSSEE / DESSAUER STR.",2
"31","AKAZIENALLEE / HULTSCHINER DAMM",1
"32","AKAZIENSTR. / APOSTEL-PAULUS-STR.",1
"33","AKAZIENSTR. / GOLTZSTR. / GRUNEWALDSTR.",1
"34","ALBANSTR.",1
"35","ALBERT-EINSTEIN-STR. / AM STUDIO",1
"36","ALBERT-EINSTEIN-STR. / ERNST-RUSKA-UFER",1
"37","ALBERTSTR. / EISENACHER STR. / HAUPTSTR.",1
"38","ALBESTR. / LAUTERSTR.",1
"39","ALBOINSTR. / SACHSENDAMM / SCHÖNEBERGER STR.",1
"40","ALBRECHTSTR.",1
"41","ALBRECHTSTR. / AM FENN",1
"42","ALBRECHTSTR. / BERLINICKESTR. / ROBERT-LÜCK-STR.",1
"43","ALBRECHTSTR. / DÜPPELSTR. / KUHLIGKSHOFSTR.",2
"44","ALBRECHTSTR. / GRUNEWALDSTR. / SCHLOßSTR.",2
"45","ALBRECHTSTR. / HERMESWEG / PRESSELSTR.",1
"46","ALBRECHTSTR. / KLINGSORSTR. / NEUE FILANDASTR. / SELERWEG",3
"47","ALBRECHTSTR. / LAUENBURGER STR. / SEDANSTR.",4
"48","ALBRECHTSTR. / PLANTAGENSTR.",1
"49","ALBRECHTSTR. / REINHARDTSTR.",2
"50","ALEMANNENALLEE / HEERSTR.",1
"51","ALEXANDER-MEIßNER-STR. / B 96A (SÜD)",1
"52","ALEXANDERPLATZ",1
"53","ALEXANDERSTR.",12
"54","ALEXANDERSTR. / GRUNERSTR.",9
"55","ALEXANDERSTR. / HOLZMARKTSTR. / STRALAUER STR.",10
"56","ALEXANDERSTR. / JACOBYSTR.",1
"57","ALEXANDERSTR. / KARL-LIEBKNECHT-STR. / MEMHARDSTR.",12
"58","ALEXANDERSTR. / MAGAZINSTR. / VOLTAIRESTR.",2
"59","ALEXANDERSTR. / SCHICKLERSTR.",2
"60","ALEXANDERSTR. / SCHILLINGSTR.",4
"61","ALEXANDERUFER / KAPELLE-UFER",1
"62","ALEXANDRINENSTR.",2
"63","ALEXANDRINENSTR. / KOMMANDANTENSTR.",1
"64","ALFRED-KOWALKE-STR.",1
"65","ALFREDSTR. / FRANKFURTER ALLEE",3
"66","ALFREDSTR. / ROEDELIUSPLATZ",1
"67","ALICE-SALOMON-PLATZ / KURT-WEILL-GASSE / PETER-WEISS-GASSE / NELLY-SACHS-STR. /",1
"68","ALLEE DER KOSMONAUTEN",5
"69","ALLEE DER KOSMONAUTEN / ALLEE DER KOSMONAUTEN",3
"70","ALLEE DER KOSMONAUTEN / MÄRKISCHE ALLEE / BRÜCKE ALLEE DER KOSMONAUTEN",2
"71","ALLENDEWEG / WENDENSCHLOßSTR.",1
"72","ALLENDORFER WEG / RHINSTR.",1
"73","ALMSTADTSTR. / ROSA-LUXEMBURG-STR.",1
"74","ALSENSTR.",3
"75","ALT-BIESDORF",1
"76","ALT-BIESDORF / GRABENSPRUNG / OBERFELDSTR.",3
"77","ALT-BIESDORF / KÖPENICKER STR. / BLUMBERGER DAMM",1
"78","ALT-BIESDORF / LÖTSCHBERGSTR. / MOZARTSTR.",1
"79","ALT-BIESDORF / MÄRKISCHE ALLEE",1
"80","ALT-BLANKENBURG / GERNRODER STR. / JUNGBORNSTR.",5
"81","ALT-BUCKOW",1
"82","ALT-BUCKOW / AN DEN ACHTERHÖFEN / MARIENFELDER CHAUSSEE / RUFACHER WEG",1
"83","ALT-BUCKOW / BUCKOWER DAMM / JOHANNISTHALER CHAUSSEE",2
"84","ALT-BUCKOW / LANDSCHÖPPENPFAD",1
"85","ALTDORFER STR. / BREMER STR. / GOERZALLEE",1
"86","ALTE HELLERSDORFER STR.",1
"87","ALTE JAKOBSTR.",3
"88","ALTE JAKOBSTR. / ANNENSTR. / NEUE JAKOBSTR. / NEUE ROßSTR.",3
"89","ALTE JAKOBSTR. / KOMMANDANTENSTR.",2
"90","ALTE JAKOBSTR. / SEBASTIANSTR.",1
"91","ALTE KAULSDORFER STR. / AM BAHNDAMM",1
"92","ALTE LEIPZIGER STR. / KURSTR.",1
"93","ALTENAUER WEG / HEINERSDORFER STR.",1
"94","ALTENBRAKER STR. / EMSER STR.",1
"95","ALTENBRAKER STR. / SIEGFRIEDSTR.",1
"96","ALTENTREPTOWER STR.",1
"97","ALTENTREPTOWER STR. / BLUMBERGER DAMM",3
"98","ALTER FISCHERWEG",1
"99","ALTE SCHÖNHAUSER STR.",5
"100","ALTE SCHÖNHAUSER STR. / LINIENSTR.",4
"101","ALTE SCHÖNHAUSER STR. / MULACKSTR. / SCHENDELGASSE",1
"102","ALTE SCHÖNHAUSER STR. / MÜNZSTR. / NEUE SCHÖNHAUSER STR. / WEINMEISTERSTR.",3
"103","ALT-FRIEDRICHSFELDE",3
"104","ALT-KAROW / STRAßE 72",1
"105","ALT-KAULSDORF / ALT-MAHLSDORF / AM KORNFELD / KRESSENWEG",1
"106","ALT-KAULSDORF / CHEMNITZER STR. / DORFSTR.",1
"107","ALT-KAULSDORF / MYSLOWITZER STR.",1
"108","ALT-KÖPENICK",1
"109","ALT-KÖPENICK / FREIHEIT",1
"110","ALT-KÖPENICK / FREIHEIT / KIRCHSTR. / LUISENHAIN",1
"111","ALT-KÖPENICK / GRÜNSTR.",1
"112","ALT-KÖPENICK / MÜGGELHEIMER STR. / LUISENHAIN / LANGE BRÜCKE (DAHME)",1
"113","ALT-LANKWITZ / EDENKOBENER WEG / KAISER-WILHELM-STR.",1
"114","ALT-LICHTENRADE",1
"115","ALT-LICHTENRADE / LICHTENRADER DAMM / POTSDAMER STR.",1
"116","ALT-LIETZOW / LOSCHMIDTSTR.",2
"117","ALT-LIETZOW / WARBURGZEILE",1
"118","ALT-LIETZOW / WINTERSTEINSTR.",2
"119","ALT-MAHLSDORF / HÖNOWER STR. / HULTSCHINER DAMM",1
"120","ALT-MAHLSDORF / NEUENHAGENER STR.",1
"121","ALT-MARIENDORF",1
"122","ALT-MARIENDORF / BRITZER STR. / REIßECKSTR. / RIXDORFER STR.",1
"123","ALT-MARIENDORF / FORDDAMM",2
"124","ALT-MARIENDORF / GROßBEERENSTR. / RATHAUSSTR.",1
"125","ALT-MARIENDORF / MARIENDORFER DAMM",4
"126","ALTMARKSTR. / CANOVASTR. / CRANACHSTR. / SACHSENWALDSTR. / THORWALDSENSTR.",1
"127","ALT-MOABIT / BEUSSELSTR. / KAISERIN-AUGUSTA-ALLEE",2
"128","ALT-MOABIT / BOCHUMER STR.",1
"129","ALT-MOABIT / CALVINSTR.",1
"130","ALT-MOABIT / GOTZKOWSKYSTR.",1
"131","ALT-MOABIT / JAGOWSTR.",1
"132","ALT-MOABIT / KREFELDER STR. / THUSNELDA-ALLEE",2
"133","ALT-MOABIT / MOLTKEBRÜCKE / ELISABETH-ABEGG-STR. / ELLA-TREBE-STR. / RAHEL-HIRSC",1
"134","ALT-MOABIT / OTTOSTR.",1
"135","ALT-MOABIT / PAULSTR. / RATHENOWER STR.",5
"136","ALT-MOABIT / SPENERSTR.",1
"137","ALT-MOABIT / STROMSTR.",5
"138","ALT-MOABIT / WERFTSTR. / INVALIDENSTR.",1
"139","ALT-MOABIT / ZINZENDORFSTR.",2
"140","ALT-MÜGGELHEIM / GEINSHEIMER WEG / GOSENER DAMM / KRAMPENBURGER WEG",1
"141","ALT-MÜGGELHEIM / ODERNHEIMER STR.",1
"142","ALTONAER STR.",1
"143","ALTONAER STR. / BACHSTR. / LESSINGSTR.",2
"144","ALTONAER STR. / ELSFLETHER WEG",2
"145","ALTONAER STR. / GROßER STERN",2
"146","ALTONAER STR. / KLOSTERSTR.",4
"147","ALT-PICHELSDORF / HEERSTR. / PICHELSDORFER STR. / SÜDPARK",1
"148","ALT-SCHÖNOW / TELTOWER DAMM",1
"149","ALTSTÄDTER RING / CARL-SCHURZ-STR. / KLOSTERSTR. / SEEGEFELDER STR. / STABHOLZGA",5
"150","ALTSTÄDTER RING / MORITZSTR.",1
"151","ALT-TEMPELHOF",1
"152","ALT-TEMPELHOF / BURCHARDSTR. / MANTEUFFELSTR.",1
"153","ALT-TEMPELHOF / FUHRMANNSTR. / GERMANIASTR. / DORFAUE TEMPELHOF / STRAßE 20A",1
"154","ALT-TEMPELHOF / MANTEUFFELSTR. / SCHÖNEBERGER STR.",1
"155","ALT-TEMPELHOF / TEMPELHOFER DAMM / U-BHF. ALT-TEMPELHOF / DORFAUE TEMPELHOF",1
"156","ALT-TREPTOW",1
"157","ALT-TREPTOW / BULGARISCHE STR. / NEUE KRUGALLEE",6
"158","ALT-WITTENAU / EICHBORNDAMM",1
"159","ALT-WITTENAU / GORKISTR. / ROSENTRETERPROMENADE",1
"160","ALVENSLEBENSTR. / BÜLOWSTR. / KULMER STR.",1
"161","AMALIENSTR.",1
"162","AMALIENSTR. / PARKSTR.",1
"163","AM ANGER / THIELALLEE",1
"164","AM BAHNDAMM",1
"165","AM BAHNHOF SPANDAU",1
"166","AM BÄKEQUELL / SCHLOßSTR.",1
"167","AM BERLIN MUSEUM / LINDENSTR. / MARKGRAFENSTR.",1
"168","AM CARLSGARTEN",1
"169","AM CONTAINERBAHNHOF / MÖLLENDORFFSTR.",2
"170","AM DONNERBERG",1
"171","AMENDESTR.",2
"172","AMENDESTR. / RESIDENZSTR.",2
"173","AM ERLENBUSCH / BUGGESTR. / ENGLERALLEE / ERLENBUSCHPARK",1
"174","AM FAULEN SEE / TAMSELER STR.",1
"175","AM FISCHTAL / RIEMEISTERSTR.",1
"176","AM FRIEDRICHSHAIN / FRIEDENSTR.",1
"177","AM GEWERBEPARK / BLUMBERGER DAMM",1
"178","AM GOLDMANNPARK / BÖLSCHESTR. / SCHMALER WEG",1
"179","AM GROßEN WANNSEE",1
"180","AM HEGEWINKEL / AM WIESELBAU",1
"181","AM HEIDEBERG / TORWEG",1
"182","AM JULIUSTURM",3
"183","AM JULIUSTURM / BEHNITZ / BREITE STR.",1
"184","AM JULIUSTURM / CARL-SCHURZ-STR. / HAVELSTR. / HOHER STEINWEG",2
"185","AM JULIUSTURM / DAUMSTR. / NONNENDAMMALLEE / FERDINAND-FRIEDENSBURG-PLATZ",1
"186","AM JULIUSTURM / ZITADELLENWEG",1
"187","AM JULIUSTURM / ZITADELLENWEG / AN DER SPREESCHANZE",1
"188","AM KAHLSCHLAG / SIGISMUNDKORSO",1
"189","AM KARLSBAD",2
"190","AM KIESBERG / WEGEDORNSTR.",1
"191","AM KIESTEICH",2
"192","AM KLEINEN WANNSEE",1
"193","AM KÖLLNISCHEN PARK",1
"194","AM KORNFELD / WILHELMSMÜHLENWEG",1
"195","AM KRUSENICK / FRIEDRICHSHAGENER STR.",1
"196","AM KUPFERGRABEN",3
"197","AM KUPFERGRABEN / BAUHOFSTR.",1
"198","AM LEHNSHOF / BERLINER STR.",1
"199","AM LOKDEPOT",1
"200","AM LUCHGRABEN",1
"201","AM LUSTGARTEN / KARL-LIEBKNECHT-STR. / LUSTGARTEN",2
"202","AM NIEDERFELD / CHEMNITZER STR.",1
"203","AM NORDBAHNHOF",1
"204","AM NORDGRABEN",1
"205","AM NORDHAFEN / FENNSTR.",1
"206","AM OMNIBUSHOF / WILHELMSTR.",1
"207","AM OSTBAHNHOF / ANDREASSTR.",1
"208","AM OSTBAHNHOF / KOPPENSTR.",1
"209","AM POSTBAHNHOF / MÜHLENSTR.",3
"210","AM ROSENHAG / FLORASTR.",1
"211","AM RUDOLFPLATZ",1
"212","AMRUMER STR. / FÖHRER STR. / LUXEMBURGER STR. / TORFSTR.",5
"213","AMRUMER STR. / OSTENDER STR.",1
"214","AM SCHILLERTHEATER / BISMARCKSTR. / MARIE-ELISABETH-LÜDERS-STR.",4
"215","AM SCHLACHTENSEE",1
"216","AM SCHLACHTENSEE / ELVIRASTEIG / GOETHESTR.",1
"217","AM SCHLOßPARK",1
"218","AM SCHLOßPARK / KAVALIERSTR.",1
"219","AM STADTPARK / SCHEFFELSTR. / ALFRED-JUNG-STR.",1
"220","AM STEINBERG",1
"221","AM STEINBERG / HEINERSDORFER STR.",1
"222","AMSTERDAMER STR. / BRÜSSELER STR. / MÜLLERSTR.",1
"223","AM STUDIO / KÖPENICKER STR.",2
"224","AM STUDIO / RUDOWER CHAUSSEE",1
"225","AM THEODORPARK / ARTURWEG / ELLAWEG",1
"226","AM TIERPARK",1
"227","AM TIERPARK / ALFRED-KOWALKE-STR.",1
"228","AM TIERPARK / ERICH-KURZ-STR.",1
"229","AM TIERPARK / RHINSTR. / ALT-FRIEDRICHSFELDE",1
"230","AM TIERPARK / SEWANSTR.",2
"231","AM TREPTOWER PARK / BULGARISCHE STR. / KÖPENICKER LANDSTR.",1
"232","AM TREPTOWER PARK / KARPFENTEICHSTR. / TREPTOWER PARK",1
"233","AM TREPTOWER PARK / PUDERSTR. / TREPTOWER PARK",1
"234","AM TREPTOWER PARK / RETHELSTR.",2
"235","AMTSSTR.",1
"236","AM WALDFRIEDHOF / ARGENTINISCHE ALLEE / WALTRAUDSTR.",2
"237","AM WASSERWERK",1
"238","AM WASSERWERK / HERZBERGSTR.",1
"239","AM WILDGATTER",1
"240","AM WRIEZENER BAHNHOF",1
"241","AM WRIEZENER BAHNHOF / STRAßE DER PARISER KOMMUNE",1
"242","AN DEN TREPTOWERS",2
"243","AN DEN TREPTOWERS / ELSENBRÜCKE (SPREE)",1
"244","AN DER KAPPE",1
"245","ANDERNACHER STR.",1
"246","AN DER OSTBAHN / ERICH-STEINFURTH-STR. / STRAßE DER PARISER KOMMUNE",1
"247","AN DER PUTLITZBRÜCKE / WESTHAFENSTR.",1
"248","AN DER URANIA",3
"249","AN DER URANIA / KLEISTSTR. / LIETZENBURGER STR. / MARTIN-LUTHER-STR.",7
"250","AN DER URANIA / KURFÜRSTENSTR. / SCHILLSTR.",3
"251","AN DER WUHLE / LINDENSTR.",1
"252","AN DER WUHLHEIDE",5
"253","AN DER WUHLHEIDE / EDISONSTR. / ROEDERNSTR. / RUMMELSBURGER STR. / TRESKOWALLEE",4
"254","AN DER WUHLHEIDE / FONTANESTR.",1
"255","AN DER WUHLHEIDE / LINDENSTR.",1
"256","AN DER WUHLHEIDE / TRESKOWSTR.",1
"257","ANDREASSTR.",4
"258","ANDREASSTR. / HOLZMARKTSTR. / STRALAUER PLATZ / AN DER SCHILLINGBRÜCKE",6
"259","ANDREASSTR. / KARL-MARX-ALLEE / LEBUSER STR.",2
"260","ANDREASSTR. / LANGE STR.",1
"261","ANDREASSTR. / SINGERSTR.",1
"262","ANDRÉEZEILE / TELTOWER DAMM",1
"263","ANGERMÜNDER STR.",1
"264","ANGERWEG / FRIEDRICH-ENGELS-STR. / KASTANIENALLEE (ENDE)",2
"265","ANHALTER STR. / ASKANISCHER PLATZ / STRESEMANNSTR.",3
"266","ANKLAMER STR. / ZIONSKIRCHSTR.",1
"267","ANKOGELWEG / MARIENDORFER DAMM",2
"268","ANNA-LOUISA-KARSCH-STR.",2
"269","ANNA-LOUISA-KARSCH-STR. / AN DER SPANDAUER BRÜCKE / ROCHSTR.",3
"270","ANNA-LOUISA-KARSCH-STR. / SPANDAUER STR.",4
"271","ANNA-NEMITZ-BRÜCKE / NEUE SPÄTHSTR. / A 113 BAB AUTOBAHNZUBRINGER DRESDEN / 113",1
"272","ANNENSTR.",3
"273","ANNENSTR. / HEINRICH-HEINE-STR.",3
"274","ANSBACHER STR.",1
"275","ANSBACHER STR. / MOTZSTR.",1
"276","ANSELMSTR. / KÖPENICKER STR.",1
"277","ANTONSTR. / MÜLLERSTR.",1
"278","ANTWERPENER STR. / BRÜSSELER STR.",1
"279","ANTWERPENER STR. / SEESTR. / TOGOSTR.",1
"280","ANZENGRUBERSTR. / KARL-MARX-STR.",2
"281","APOLLOFALTERALLEE / LINDENSTR.",2
"282","APOLLOFALTERALLEE / RAPSWEIßLINGSTR.",1
"283","ARCHENHOLDSTR. / EINBECKER STR.",1
"284","ARCOSTR.",1
"285","ARENDSWEG",1
"286","ARENDSWEG / LANDSBERGER ALLEE",2
"287","ARGENTINISCHE ALLEE",3
"288","ARGENTINISCHE ALLEE / CLAYALLEE / SAARGEMÜNDER STR.",1
"289","ARGENTINISCHE ALLEE / FISCHERHÜTTENSTR. / RAUWEILERSTEIG",1
"290","ARGENTINISCHE ALLEE / LINDENTHALER ALLEE / MEXIKOPLATZ",1
"291","ARGENTINISCHE ALLEE / MARSHALLSTR.",1
"292","ARGENTINISCHE ALLEE / TESCHENER WEG",1
"293","ARISTOTELESSTEIG / CÄSARSTR.",2
"294","ARKONASTR. / KISSINGENSTR. / STUBNITZSTR.",1
"295","ARMBRUSTWEG / EMMENTALER STR. / REGINHARDSTR.",1
"296","ARMENISCHE STR. / UNGARNSTR.",1
"297","ARNIMALLEE",1
"298","ARNSBERGER STR.",1
"299","ARNULFSTR. / PRELLERWEG / RÖBLINGSTR.",1
"300","ARNULFSTR. / WITTEKINDSTR.",1
"301","ARTEMISSTR. / BRANDTSTR.",1
"302","ASCHAFFENBURGER STR.",1
"303","ASKANIERRING",1
"304","ASKANIERRING / HAVELSCHANZE / NEUENDORFER STR. / STREITSTR. / KGA KLECKERSDORF",1
"305","AßMANNSTR.",1
"306","ATTILASTR.",1
"307","ATTILASTR. / CHLODWIGSTR. / MARIENHÖHER WEG / PAUL-SCHMIDT-STR.",1
"308","ATTILASTR. / FRIEDRICH-KARL-STR.",1
"309","ATTILASTR. / GERSDORFSTR. / RÖBLINGSTR.",1
"310","ATTILASTR. / RINGSTR.",1
"311","ATZPODIENSTR.",1
"312","AUERSTR.",1
"313","AUERSTR. / STRAßMANNSTR. / RICHARD-SORGE-STR.",1
"314","AUERSWALDSTR. / BOHNSDORFER WEG / ORTOLFSTR.",1
"315","AUGSBURGER STR.",1
"316","AUGSBURGER STR. / MARBURGER STR.",1
"317","AUGUSTASTR.",1
"318","AUGUSTASTR. / HINDENBURGDAMM / KLINGSORSTR.",1
"319","AUGUSTASTR. / MOLTKESTR.",1
"320","AUGUSTE-HAUSCHNER-STR. / POTSDAMER PLATZ",1
"321","AUGUSTE-VIKTORIA-STR.",2
"322","AUGUSTE-VIKTORIA-STR. / BERKAER STR.",1
"323","AUGUSTE-VIKTORIA-STR. / HOHENZOLLERNDAMM",1
"324","AUGUSTE-VIKTORIA-STR. / WARMBRUNNER STR.",1
"325","AUGUST-LINDEMANN-STR. / DOLZIGER STR. / ELDENAER STR. / PROSKAUER STR.",3
"326","AUGUSTSTR.",2
"327","AUGUSTSTR. / ORANIENBURGER STR.",1
"328","AUGUSTSTR. / ROSENTHALER STR.",1
"329","AUGUSTSTR. / TUCHOLSKYSTR.",2
"330","AUSF",2
"331","AXEL-SPRINGER-STR.",1
"332","AXEL-SPRINGER-STR. / BEUTHSTR.",1
"333","AXEL-SPRINGER-STR. / KOMMANDANTENSTR.",2
"334","AXEL-SPRINGER-STR. / KRAUSENSTR.",1
"335","AXEL-SPRINGER-STR. / LEIPZIGER STR.",3
"336","AXEL-SPRINGER-STR. / ZIMMERSTR.",2
"337","AXENSTR. / MALCHOWER STR.",1
"338","BABELSBERGER STR.",1
"339","BACHSTR. / STRAßE DES 17. JUNI",5
"340","BACHWITZER STR.",1
