"","X.1","X","street1","accidents","lon","lat"
"1",153,153,"ALT-TEMPELHOF / FUHRMANNSTR. / GERMANIASTR. / DORFAUE TEMPELHOF / STRAßE 20A",1,NA,NA
"2",304,304,"ASKANIERRING / HAVELSCHANZE / NEUENDORFER STR. / STREITSTR. / KGA KLECKERSDORF",1,NA,NA
"3",395,395,"BÄUMERPLAN / LOEWENHARDTDAMM / SCHREIBERRING / SPIELPARK BÄUMERPLAN,ZW.WÜST",1,NA,NA
"4",750,750,"BUDAPESTER STR. / KURFÜRSTENSTR. / NÜRNBERGER STR. / OLOF-PALME-PLATZ",2,NA,NA
"5",791,791,"BÜRKNERSTR. / FRIEDELSTR. / MAYBACHUFER / HOBRECHTBRÜCKE",2,NA,NA
"6",1238,1238,"FICHTESTR. / GRIMMSTR. / KÖRTESTR. / URBANSTR. / GRIMMPARK",3,NA,NA
"7",1415,1415,"GARTENFELDER STR. / SAATWINKLER DAMM / GARTENFELDER BRÜCKE",2,NA,NA
"8",2063,2063,"KARLSHORSTER STR. / STUBENRAUCHBRÜCKE",1,NA,NA
"9",2116,2116,"KISSELNALLEE / PIONIERSTR. / ZEPPELINSTR. (ENDE)",1,NA,NA
"10",2263,2263,"KUHLIGKSHOFSTR. / SCHLOßSTR. / WOLFENSTEINDAMM / A 103 BAB ABZWEIG ZEHLENDORF /",3,NA,NA
"11",2345,2345,"LICHTENBERGER STR. / PALISADENSTR. / WEYDEMEYERSTR. / PLATZ DER VEREINTEN NATION",1,NA,NA
"12",2483,2483,"MARKGRAFENSTR. / JÄGERSTR. / GENDARMENMARKT",1,NA,NA
"13",2484,2484,"MARKGRAFENSTR. / KRONENSTR.",1,NA,NA
"14",2485,2485,"MARKGRAFENSTR. / LEIPZIGER STR.",1,NA,NA
"15",2486,2486,"MARKGRAFENSTR. / SCHÜTZENSTR.",1,NA,NA
"16",2487,2487,"MÄRKISCHE ALLEE",2,NA,NA
"17",2488,2488,"MÄRKISCHE ALLEE / MEHROWER ALLEE",2,NA,NA
"18",2489,2489,"MÄRKISCHE SPITZE / BENTSCHENER WEG / MÄRKISCHE ALLEE",1,NA,NA
"19",2490,2490,"MÄRKISCHES UFER",2,NA,NA
"20",2491,2491,"MARKSBURGSTR. / RHEINGOLDSTR.",1,NA,NA
"21",2492,2492,"MARKSTR.",2,NA,NA
"22",2493,2493,"MARKSTR. / PANKOWER ALLEE / RESIDENZSTR.",1,NA,NA
"23",2494,2494,"MARKSTR. / REGINHARDSTR. / UNGARNSTR. / LOUISE-SCHROEDER-PLATZ",1,NA,NA
"24",2495,2495,"MARKTSTR. / SCHREIBERHAUER STR.",1,NA,NA
"25",2496,2496,"MARSCHALLBRÜCKE (SPREE) / SCHIFFBAUERDAMM / LUISENSTR.",1,NA,NA
"26",2497,2497,"MARSHALLSTR.",1,NA,NA
"27",2498,2498,"MARTIN-HOFFMANN-STR.",1,NA,NA
"28",2499,2499,"MARTIN-LUTHER-STR.",6,NA,NA
"29",2500,2500,"MARTIN-LUTHER-STR. / MOTZSTR.",1,NA,NA
"30",2501,2501,"MARTIN-LUTHER-STR. / WARTBURGSTR.",1,NA,NA
"31",2502,2502,"MARTIN-LUTHER-STR. / WINTERFELDTSTR.",1,NA,NA
"32",2503,2503,"MARTIN-MÄHRLEIN-WEG",1,NA,NA
"33",2504,2504,"MARTIN-RIESENBURGER-STR. / JOHANNES-BOBROWSKI-STR.",1,NA,NA
"34",2505,2505,"MARZAHNER CHAUSSEE / ALLEE DER KOSMONAUTEN",1,NA,NA
"35",2506,2506,"MARZAHNER CHAUSSEE / SEDDINER STR.",1,NA,NA
"36",2507,2507,"MARZAHNER STR. / PLAUENER STR.",1,NA,NA
"37",2508,2508,"MARZAHNER STR. / WOLLENBERGER STR.",1,NA,NA
"38",2509,2509,"MASSANTEBRÜCKE / HERMANN-GLADENBECK-BRÜCKE / STUBENRAUCHSTR. / A 113 BAB AUTO",1,NA,NA
"39",2510,2510,"MAßMANNSTR.",1,NA,NA
"40",2511,2511,"MASURENALLEE / MESSEDAMM / NEUE KANTSTR.",4,NA,NA
"41",2512,2512,"MASURENSTR. / MÜHLENSTR.",1,NA,NA
"42",2513,2513,"MATENZEILE / ROTKAMP",1,NA,NA
"43",2514,2514,"MATTHIEUSTR. / NOÉWEG / BLANKENFELDER STR.",1,NA,NA
"44",2515,2515,"MAX-BEER-STR.",3,NA,NA
"45",2516,2516,"MAX-BEER-STR. / MÜNZSTR. / ROCHSTR. (ENDE)",2,NA,NA
"46",2517,2517,"MAX-BRUNNOW-STR. / STORKOWER STR.",1,NA,NA
"47",2518,2518,"MAX-DOHRN-STR. / LISE-MEITNER-STR.",1,NA,NA
"48",2519,2519,"MAX-DOHRN-STR. / TEGELER WEG",2,NA,NA
"49",2520,2520,"MAXIMILIANSTR. / MÜHLENSTR.",2,NA,NA
"50",2521,2521,"MAXSTR. / SCHULSTR.",1,NA,NA
"51",2522,2522,"MAYBACHUFER",4,NA,NA
"52",2523,2523,"MAYBACHUFER / LOHMÜHLENBRÜCKE",2,NA,NA
"53",2524,2524,"MAYSCHWEG / WENDENSCHLOßSTR.",1,NA,NA
"54",2525,2525,"MECKLENBURGISCHE STR. / PARETZER STR. / WALLENBERGSTR.",2,NA,NA
"55",2526,2526,"MECKLENBURGISCHE STR. / SCHLANGENBADER STR. / A 100 BAB / 100 AS SCHMARGENDORF E",1,NA,NA
"56",2527,2527,"MEERANER STR. / ALLEE DER KOSMONAUTEN",1,NA,NA
"57",2528,2528,"MEHRINGDAMM",8,NA,NA
"58",2529,2529,"MEHRINGDAMM / TEMPELHOFER UFER / MEHRINGBRÜCKE",12,NA,NA
"59",2530,2530,"MEINEKESTR.",1,NA,NA
"60",2531,2531,"MELLENSEESTR. / SEWANSTR.",1,NA,NA
"61",2532,2532,"MEMHARDSTR. / MÜNZSTR. / ROSA-LUXEMBURG-STR.",9,NA,NA
"62",2533,2533,"MENDELSSOHNSTR.",1,NA,NA
"63",2534,2534,"MENTELINSTR. / RUMMELSBURGER STR.",4,NA,NA
"64",2535,2535,"MERCATORWEG",1,NA,NA
"65",2536,2536,"MESSEDAMM",4,NA,NA
"66",2537,2537,"MESSEDAMM,HALE",3,NA,NA
"67",2538,2538,"METHFESSELSTR.",1,NA,NA
"68",2539,2539,"METZER STR. / PRENZLAUER ALLEE",2,NA,NA
"69",2540,2540,"METZER STR. / SCHÖNHAUSER ALLEE / SCHWEDTER STR. / SENEFELDERPLATZ",2,NA,NA
"70",2541,2541,"METZER STR. / STRAßBURGER STR.",1,NA,NA
"71",2542,2542,"METZER STR. / WILHELMSTR.",1,NA,NA
"72",2543,2543,"MEYERBEERSTR.",2,NA,NA
"73",2544,2544,"MICHAEL-BOHNEN-RING / SONNENALLEE",1,NA,NA
"74",2545,2545,"MICHAEL-BRÜCKNER-STR. / BRITZER STR. / FENNSTR.",1,NA,NA
"75",2546,2546,"MICHAEL-BRÜCKNER-STR. / BRÜCKENSTR. / SCHNELLERSTR.",1,NA,NA
"76",2547,2547,"MICHAEL-BRÜCKNER-STR. / HASSELWERDERSTR.",2,NA,NA
"77",2548,2548,"MICHAELKIRCHPLATZ / MICHAELKIRCHSTR. / SCHMIDSTR.",1,NA,NA
